K,任务组编号,服务区列表,A型运输无人机数,B型运输无人机数,C型运输无人机数,A型电池组数,B型电池组数,C型电池组数,中继无人机数,中继能源组件数,货箱数,运输架次数,中继架次数,运输能耗kWh,中继能耗kWh,运输任务时长s,中继任务时长s,工作量s
2,G1,"S001,S003,S005,S006,S007,S011,S012,S015",3,1,2,4,1,3,2,2,49,11,2,33.315397,2.514493,20974.941,8869.139,29844.079999999998
2,G2,"S002,S004,S008,S009,S010,S013,S014",2,2,1,3,3,1,2,2,31,11,3,32.356666000000004,2.891457,21187.391,10305.557,31492.948
3,G1,"S001,S003,S005,S007,S011,S015",3,1,2,4,1,2,1,1,40,9,1,27.966269,1.517657,17490.275999999998,5300.825,22791.101
3,G2,"S002,S004,S009,S013",2,1,1,3,1,1,2,2,20,7,3,22.639023,2.891457,13892.440999999999,10305.557,24197.998
3,G3,"S006,S008,S010,S012,S014",0,2,1,0,3,1,2,2,20,6,2,15.066771000000001,2.514493,10779.615,8869.139,19648.754
