架次,时间s,直连裕量dB,Q3-R01裕量dB,Q3-R02裕量dB,Q3-R03裕量dB
Q2-016,3718.523,55.92517525248826,-7.3646543164608005,,
Q2-016,3719.5211121429843,57.08267197676949,-7.3640315228441295,,
Q2-016,3720.519224285968,58.41848579784323,-7.363411164166223,,
Q2-016,3721.517336428952,59.99774184296487,2.637206758516598,,
Q2-016,3722.515448571936,61.92939290689409,2.637822244151778,,
Q2-016,3723.51356071492,64.41726327367255,2.6384352916906124,,
Q2-016,3724.511672857904,67.91732070667645,2.6390459000881634,,
Q2-016,3725.509785000888,73.87294278757486,2.639654068303358,,
Q2-016,3726.507897143872,110.40579328701449,2.6402597952988884,,
Q2-016,3727.5060092868557,74.13582257645585,2.6408630800412993,,
Q2-016,3728.50412142984,68.04875307677972,2.6414639215009856,,
Q2-016,3729.5022335728236,64.50488392492589,2.642062318652137,,
Q2-016,3730.5003457158077,61.99510815152594,2.6426582704728077,,
Q2-016,3731.498457858792,60.050313948391775,2.643251775944904,,
Q2-016,3732.4965700017756,58.46229584483335,2.6438428340541975,,
Q2-016,3733.4946821447597,57.120223424496714,2.644431443790282,,
Q2-016,3734.4927942877434,55.95803275725538,2.645017604146645,,
Q2-016,3735.4909064307276,54.93315362688392,2.645601314120654,,
Q2-016,3736.4890185737117,54.016541147681465,2.6461825727135135,,
Q2-016,3737.4871307166954,53.18749089933935,2.646761378930364,,
Q2-016,3738.4852428596796,52.4307226864683,2.6473377317801834,,
Q2-016,3739.4833550026633,51.73463703943486,2.647911630275871,,
Q2-016,3740.4814671456475,51.090220418472825,2.648483073434221,,
Q2-016,3741.4795792886316,50.490329439864595,2.6490520602759204,,
Q2-016,3742.4776914316153,49.92920680775059,2.649618589825593,,
Q2-016,3743.4758035745995,49.40214439134573,2.6501826611117423,,
Q2-016,3744.473915717583,48.90524283548933,2.650744273166822,,
Q2-016,3745.4720278605673,48.435236305845336,2.6513034250271943,,
Q2-016,3746.4701400035515,47.98936227479476,2.6518601157331574,,
Q2-016,3747.468252146535,47.5652631338661,2.6524143443289603,,
Q2-016,3748.4663642895193,47.16091073141574,2.652966109862774,,
Q2-016,3749.464476432503,46.77454770981416,2.6535154113867065,,
Q2-016,3750.462588575487,46.40464134488009,2.6540622479568867,,
Q2-016,3751.4607007184713,46.04984682047365,2.654606618633295,,
Q2-016,3752.458812861455,45.70897771460932,2.6551485224799762,,
Q2-016,3753.456925004439,45.38098206181732,2.655687958564883,,
Q2-016,3754.455037147423,45.06492277338663,2.656224925959961,,
Q2-016,3755.453149290407,44.75996149680775,2.6567594237411356,,
Q2-016,3756.4512614333908,44.4653452140367,2.6572914509883105,,
Q2-016,3757.449373576375,44.18039503914636,2.6578210067853973,,
Q2-016,3758.447485719359,43.9044967959633,2.6583480902202723,,
Q2-016,3759.4455978623428,43.637093046719684,2.6588727003848476,,
Q2-016,3760.443710005327,43.37767631157203,2.659394836375,,
Q2-016,3761.4418221483106,43.12578327167738,2.659914497290657,,
Q2-016,3762.439934291295,42.88098978943421,2.660431682235739,,
Q2-016,3763.438046434279,42.6429066114425,2.6609463903181734,,
Q2-016,3764.4361585772626,42.41117564485185,2.6614586206499524,,
Q2-016,3765.434270720247,42.18546671766583,2.6619683723470615,,
Q2-016,3766.4323828632305,41.96547474943337,2.662475644529536,,
Q2-016,3767.4304950062146,41.750917271480546,2.662980436321476,,
Q2-016,3768.428607149199,41.54153224611248,2.663482746850974,,
Q2-016,3769.4267192921825,41.337076142545854,2.663982575250216,,
Q2-016,3770.4248314351667,41.1373222341379,2.664479920655424,,
Q2-016,3771.4229435781504,40.94205908705506,2.664974782206883,,
Q2-016,3772.4210557211345,40.75108921511867,2.6654671590489585,,
Q2-016,3773.419167864118,40.56422787937471,2.6659570503300642,,
Q2-016,3774.4172800071024,40.38130201409318,2.6664444552026936,,
Q2-016,3775.4153921500865,40.2021492635499,2.6669293728234464,,
Q2-016,3776.41350429307,40.02661711615295,2.6674118023529445,,
Q2-016,3777.4116164360544,39.854562124342564,2.667891742955973,,
Q2-016,3778.409728579038,39.68584920026703,2.668369193801368,,
Q2-016,3779.4078407220222,39.52035097856799,2.6688441540620573,,
Q2-016,3780.4059528650064,39.35794723874754,2.6693166229150904,,
Q2-016,3781.40406500799,39.19852438055244,2.669786599541652,,
Q2-016,3782.4021771509742,39.041974946641915,2.670254083126963,,
Q2-016,3783.400289293958,38.88819718751628,2.670719072860436,,
Q2-016,3784.398401436942,38.73709466429278,2.671181567935591,,
Q2-016,3785.3965135799262,38.58857588544711,2.671641567550026,,
Q2-016,3786.39462572291,38.442553974092576,2.6720990709055172,,
Q2-016,3787.392737865894,38.29894636276751,2.6725540772079768,,
Q2-016,3788.390850008878,38.157674513047056,2.673006585667437,,
Q2-016,3789.388962151862,38.01866365759342,2.6734565954980667,,
Q2-016,3790.387074294846,37.881842562525435,2.67390410591824,,
Q2-016,3791.38518643783,37.74714330821526,2.6743491161503954,,
Q2-016,3792.383298580814,37.61450108682395,2.674791625421207,,
Q2-016,3793.3814107237977,37.483854015065816,2.6752316329614843,,
Q2-016,3794.379522866782,37.35514296084585,2.6756691380061994,,
Q2-016,3795.377635009766,37.2283113825565,2.6761041397944894,,
Q2-016,3796.3757471527497,37.103305179938914,2.676536637569683,,
Q2-016,3797.373859295734,36.9800725555249,2.6769666305792867,,
Q2-016,3798.3719714387175,36.8585638857717,2.6773941180749716,,
Q2-016,3799.3700835817017,36.7387316010861,2.677819099312643,,
Q2-016,3800.3681957246854,36.620530074013345,2.6782415735523415,,
Q2-016,3801.3663078676695,36.503915514931606,2.6786615400583287,,
Q2-016,3802.3644200106537,36.38884587465688,2.6790789980991008,,
Q2-016,3803.3625321536374,36.275280753414876,2.679493946947318,,
Q2-016,3804.3606442966216,36.16318131568735,2.6799063858798604,,
Q2-016,3805.3587564396053,36.052510210484286,2.6803163141778157,,
Q2-016,3806.3568685825894,35.9432314966309,2.6807237311265055,,
Q2-016,3807.3549807255736,35.835310572697296,2.6811286360154725,,
Q2-016,3808.3530928685573,35.72871411122753,2.6815310281384654,,
Q2-016,3809.3512050115414,35.62340999695583,2.6819309067934967,,
Q2-016,3810.349317154525,35.519367268723855,2.6823282712827705,,
